Clasificacion	Producto	Cartilla	Formato	Tolerancia Luz	Primer	Color	R	G	B	Base	Oz Base	Col. 1	1/48 onzas	Col. 2	1/48 onzas	Col. 3	1/48 onzas	Col. 4	1/48 onzas
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW016W	238	248	234	Blanca	128	CA	2.5	VE	1.5	OC	1.5		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW017W	237	244	228	Blanca	128	CA	5.5	VE	1.5	OC	2		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW018W	242	252	238	Blanca	128	VE	1	AV	0.5	OC	1.5		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW019W	250	250	221	Blanca	128	CA	4	AV	9.5		0		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW020W	250	251	230	Blanca	128	VE	0.5	OC	3.5		0		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW021W	249	251	231	Blanca	128	AZ	0.5	OC	3.5		0		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW022W	253	248	220	Blanca	128	CA	0.5	AV	1.5	OC	5.5		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW023W	253	253	233	Blanca	128	CA	0.5	AV	2.5	AO	1		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW024W	252	252	233	Blanca	128	AV	3	OC	0.5		0		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW025W	248	241	216	Blanca	128	CA	6.5	RO	0.5	AV	9		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW026W	248	246	226	Blanca	128	CA	4.5	AV	3	OC	1		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW027W	251	250	228	Blanca	128	CA	3.5	AV	2	OC	1.5		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW028W	249	243	222	Blanca	128	CA	0.5	VI	2.5	OC	6		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW029W	249	247	227	Blanca	128	CA	3	VI	0.5	OC	3.5		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW030W	249	251	237	Blanca	128	CA	4	AV	1	OC	0.5		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW031W	244	236	220	Blanca	128	VI	6	OC	6		0		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW032W	251	248	230	Blanca	128	CA	2	VI	0.5	OC	2.5		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW033W	252	252	241	Blanca	128	CA	2	AV	1	OC	0.5		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW034W	247	241	225	Blanca	128	AZ	0.5	RJ	1.5	OC	4.5		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW035W	248	242	226	Blanca	128	CA	6.5	RJ	1	OC	2		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW036W	249	247	235	Blanca	128	CA	2	VI	2	OC	2.5		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW037W	242	236	223	Blanca	128	CA	14	MA	3	OC	0.5		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW038W	247	243	231	Blanca	128	CA	2	VI	3	OC	2.5		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW039W	250	250	236	Blanca	128	CA	4	VI	0.5	OC	1		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW040W	238	231	223	Blanca	128	CA	12	RJ	2.5	VI	2		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW041W	238	233	223	Blanca	128	AZ	0.5	CA	13	RJ	2.5		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW042W	249	247	237	Blanca	128	VI	2	OC	2		0		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW043W	246	246	242	Blanca	128	NE	1	CA	3	MA	1		
1.-Latex	Ltx.Extracubriente Sipa/Ltx.Tecnoconstrucción Sipa/Ltx.Construcolor Sipa/Ltx.Lavable (descontinuado)	Cartilla Ltx. Extracubriente	Galon (3.785 Lts.)			CW044W	240	240	233	Blanca	128	NE	2.5	VI	1.5	OC	2		
